CCTV-央视,#genre#
CCTV-1综合HD,rtsp://125.88.70.140/PLTV/88888905/224/3221227270/10000100000000060000000001141346_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPM6mos1IHjv1t7+cAii2qgw,

CCTV-2财经HD,rtsp://125.88.70.140/PLTV/88888905/224/3221227634/10000100000000060000000004662503_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPcC0draa33m1PxBXOOpfMUQ,

CCTV-3综艺HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229838/10000100000000060000000009924454_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPSPHdVaobFjWIJKQAPTlyCQ,

CCTV-4中文国际HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229981/10000100000000060000000010232874_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPmdQpH4PueR2RqVUHJ2UcVg,

CCTV-5体育HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229857/10000100000000060000000009924447_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPrzsu+Zh7Vs4TM9Xpe/MpEQ,

CCTV-5+体育赛事HD,rtsp://125.88.70.140/PLTV/88888905/224/3221227192/10000100000000060000000000987131_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPrjUAQiKzPrPzOKV4xpEXOg,

CCTV-6电影HD,rtsp://125.88.70.140/PLTV/88888905/224/3221229898/10000100000000060000000009924445_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPLDBmT7YW04uehjEWUPYo2Q,

CCTV-7国防军事HD,rtsp://125.88.70.140/PLTV/88888905/224/3221227620/10000100000000060000000004662504_0.smil?accountinfo=l1bOb+rWnGLsMH2vnqMwH+TQJOWwn0pSG4U0oYH86IunvenJBN/AmxLcGmRJOCI2SpF9InVI1bEOUE5lVuiiqRrmVydJlz8zWKjkSpmOQG881rseWBawyuny440wDrUPwd7ToqV1ouWpV9+goNO+Sg,

